AAA-cycles,AAB-cycles,all,x
0.001852045551704295,0.0,0.001852045551704295,0.05
0.005488116360940265,0.0,0.005488116360940265,0.1
0.009147817344163481,0.0,0.009147817344163481,0.15000000000000002
0.012047768476488084,0.0,0.012047768476488084,0.2
0.013945635009276864,0.0,0.013945635009276864,0.25
0.01487689993994279,0.0,0.01487689993994279,0.3
0.015000912460990286,0.0,0.015000912460990286,0.35
0.014514872526306,0.0,0.014514872526306,0.39999999999999997
0.013609116329799328,0.0,0.013609116329799328,0.44999999999999996
0.012446767091965988,0.0,0.012446767091965988,0.49999999999999994
0.011157158138875103,0.0,0.011157158138875103,0.5499999999999999
0.009836540081025325,0.0,0.009836540081025325,0.6
0.008552207585852352,0.0,0.008552207585852352,0.65
0.007347832642034076,0.0,0.007347832642034076,0.7000000000000001
0.006248810552761295,0.0,0.006248810552761295,0.7500000000000001
0.005267038111372817,0.0,0.005267038111372817,0.8000000000000002
0.004404899393585043,0.0,0.004404899393585043,0.8500000000000002
0.0036584305635162582,0.0,0.0036584305635162582,0.9000000000000002
0.00301973382536782,0.0,0.00301973382536782,0.9500000000000003
0.0024787521766663555,0.0,0.0024787521766663555,1.0000000000000002
0.002024526016674367,0.0,0.002024526016674367,1.0500000000000003
0.0016460453254329495,0.0,0.0016460453254329495,1.1000000000000003
0.0013327962299166537,0.0,0.0013327962299166537,1.1500000000000004
0.001075083564062416,0.0,0.001075083564062416,1.2000000000000004
0.0008641943283559883,0.0,0.0008641943283559883,1.2500000000000004
0.0006924521144758383,0.0,0.0006924521144758383,1.3000000000000005
0.0005532000791487331,0.0,0.0005532000791487331,1.3500000000000005
0.0004407399553905412,0.0,0.0004407399553905412,1.4000000000000006
0.00035024666760149857,0.0,0.00035024666760149857,1.4500000000000006
0.0002776720591950282,0.0,0.0002776720591950282,1.5000000000000007
0.0002196467161263107,0.0,0.0002196467161263107,1.5500000000000007
0.0001733855654165852,0.0,0.0001733855654165852,1.6000000000000008
0.00013660057189793663,0.0,0.00013660057189793663,1.6500000000000008
0.00010742222099712578,0.0,0.00010742222099712578,1.7000000000000008
8.433037613360031e-05,0.0,8.433037613360031e-05,1.7500000000000009
6.609439105219675e-05,0.0,6.609439105219675e-05,1.800000000000001
5.172192827345362e-05,0.0,5.172192827345362e-05,1.850000000000001
4.041570028175312e-05,0.0,4.041570028175312e-05,1.900000000000001
3.153724735877972e-05,0.0,3.153724735877972e-05,1.950000000000001
2.4576849413312727e-05,0.0,2.4576849413312727e-05,2.000000000000001
